Brand,Title,Price_special,Price_regular
Agovirax,"AGOVIRAX, nosies purškalas, 20 ml",14.08,16.56
Otosan,"OTOSAN, milteliai nosies ploviklio gamybai (paketėliai), 30 vnt.",6.66,8.32
Gelomyrtol,"GELOMYRTOL FORTE, 300 mg, skrandyje neirios minkštosios kapsulės, N100",N/A,23.06
Otosan,"OTOSAN, nosies ploviklis (rinkinys)",15.40,19.25
Herbitassin,"HERBITASSIN, gerklės pastilės su islandine kerpena ir juodaisiais serbentais, 12 pastilių",N/A,2.99
Innovative Pharma,"COLDMOSS, 6 paketėliai",N/A,6.29
Rinopanteina,"RINOPANTEINA, nosies lašai, 30 ml",7.64,8.99
Humer,"HUMER ADULT, purškalas, 150 ml",8.26,10.32
AMBIO,"AMBIO HOT HERBAL DRINK, 20 paketėlių miltelių karštam gėrimui ruošti",N/A,13.98
Innovative Pharma,"ICELANDER, purškalas skaudančiai gerklei, 20 ml",N/A,5.89
Humer,"HUMER, 0,9%, daugiafunkcinis fiziologinis tirpalas, 30x5ml",7.99,9.99
Influcid,"INFLUCID, tabletės, N40",N/A,7.64
Rinopanteina,"RINOPANTEINA PLUS, nosies purškalas, 20 ml",8.49,9.99
Bionorica,"SINUPRET INTENS, dengtos tabletės, suaugusiems, N20",N/A,11.22
Herbitassin,"HERBITASSIN, gerklės pastilės su islandine kerpena ir medumi, 12 pastilių",N/A,2.99
Septabene,"SEPTABENE, 3 mg/1 mg, kietosios pastilės, eukaliptų skonio, N16",N/A,7.78
Actifed,"ACTIFED, 60 mg/2,5 mg, tabletės, N12",N/A,8.16
Galazolin,"GALAZOLIN, 0,1 %, nosies lašai (tirpalas), 10 ml",N/A,2.47
Aflubin,"AFLUBIN PLUS, sirupas nuo kosulio, 175ml",N/A,10.80
Septabene,"SEPTABENE, citrinų ir šeivamedžio skonio, 3 mg/1 mg, kietosios pastilės, N16",N/A,7.78
Ivex,"IVEX, sirupas nuo kosulio, 100 ml",N/A,6.38
Decatylen,"DECATYLEN, 0,25 mg/0,03 mg, kietosios pastilės, N40",N/A,10.21
Rinopanteina,"RINOPANTEINA, nosies tepalas, 10 g",7.64,8.99
Immuwash,"IMMUWASH, nosies purškalas, 50 ml",8.49,9.99
Sinupret,"SINUPRET, geriamieji lašai (tirpalas), 100 ml",N/A,8.22
Xymelin,"XYMELIN MENTHOL, 1 mg/ml, nosies purškalas (tirpalas), 10 ml",N/A,5.54
Viburcol,"VIBURCOL, žvakutės, N12",N/A,6.56
Humer,"HUMER 050, hipertoninis tirpalas nuo slogos, 50 ml",6.78,8.48
Ivex,"IVEX, sirupas nuo kosulio, 200 ml",11.16,13.95
Vibrocil,"VIBROCIL, 2,5 mg/0,25 mg/ml, nosies purškalas (tirpalas), 10 ml",N/A,5.29
Apipol,"APIPOL inhaliatorius, N1",7.64,8.99
Bionorica,"TONSILGON N, geriamieji lašai (tirpalas), 50 ml",N/A,8.77
Lotos Pharma,"SINUNORM DUO, 15 kapsulių",N/A,6.35
Umckalor,"UMCKALOR, geriamieji lašai (tirpalas), 20 ml",N/A,9.51
Viscoflu,"VISCOFLU, sterilus hipertoninis fiziologinis tirpalas inhaliavimui ir lašinimui, 5 ml, 10 vnt.",N/A,17.55
Sinupret,"SINUPRET FORTE, dengtos tabletės, N20",N/A,7.90
AMBIO,"AMBIO SINUREN COMPLEX, 60 tablečių",5.84,8.98
AMBIO,"AMBIO GERKLEI SU ISLANDINE KERPENA,purškalas, 20ml",3.84,5.48
Sinupret,"SINUPRET, dengtos tabletės, N50",N/A,8.77
Brontex,"BRONTEX, 15 mg/5 ml, sirupas, 100 ml",N/A,3.87
Sterimar,"STERIMAR MICROSPRAY, purškalas, 100 ml",7.13,8.39
Gripex,"GRIPEX, plėvele dengtos tabletės, N24",N/A,7.90
AMBIO,"AMBIO GERKLEI SU ŠALTALANKIŲ IR MEDETKŲ ALIEJAIS, purškalas, 20 ml",N/A,5.99
Innovative Pharma,"ICELANDER, skaudančiai gerklei, 16 minkštųjų pastilių",N/A,5.24
Olynth,"OLYNTH HA, 0,5 mg/ml, nosies purškalas (tirpalas), 10 ml",N/A,5.52
Herbitassin,"HERBITASSIN, gerklės pastilės su šalavijų ekstraktu ir vitaminu C, 12 pastilių",N/A,2.99
Propodezas,"PROPODEZAS SU AVIETĖMIS, 50 tablečių",N/A,3.75
AMBIO,"AMBIO GERKLEI SU ISLANDINE KERPENA, sirupas, 150 ml",3.89,6.48
Tantum Verde,"TANTUM VERDE FORTE, 3 mg/ml, burnos gleivinės purškalas (tirpalas), 15 ml",N/A,8.12
Medochemie,"DELMAR, fiziologinis nosies purškalas, 100 ml",4.75,5.59
Pertusinas,"PERTUSINAS FORTE, sirupas, 100 ml",N/A,3.47
Sinupret,"SINUPRET, dengtos tabletės, N100",N/A,16.53
Propodezas,"PROPODEZAS FORTE, su šeivamedžiu, 50 tablečių",N/A,4.19
Nisita,"NISITA OITMENT, tepalas, 20 g",5.77,6.79
Cosinus,"COSINUS SINUSES AND NOSE, purškalas, 60 ml",N/A,5.99
Gardimax,"GARDIMAX TERMOGRIPP, milteliai geriamajam tirpalui, 10 maišelių",N/A,9.83
Grintuss,"GRINTUSS PEDIATRIC, sirupas, 180 ml",N/A,12.15
Furasol,"FURASOL, 100/900 mg, gargalas, milteliai tirpalui, N5",N/A,6.87
ACC,"ACC LONG, 600 mg, šnypščiosios tabletės, N10",N/A,6.99
Fluditec,"FLUDITEC, 20 mg/ml, sirupas, 125 ml",N/A,3.82
Pertusinas,"PERTUSINAS, sirupas, 100 ml",N/A,2.82
Septabene,"SEPTABENE CITRINŲ IR MEDAUS SKONIO, 3 mg/1 mg, kietosios pastilės, N16",N/A,7.78
Humer,"HUMER STOP VIRUS, nosies purškalas, 15 ml",8.57,10.71
Humer,"HUMER SINUSITAS, purškalas, 15 ml",10.65,13.31
Olynth,"OLYNTH HA, 1 mg/ml, nosies purškalas (tirpalas), 10 ml",N/A,5.52
Lotos Pharma,"LOTOS PHARMA BRONCHONORM, 250 ml",4.31,5.39
Bionorica,"TONSILGON N, dengtos tabletės, N50",N/A,8.77
AMBIO,"AMBIO GERKLEI AVIEČIŲ SKONIO, 20 čiulpiamųjų tablečių",N/A,4.69
RinoFlux,"RINOFLUX 0,9%, fiziologinis tirpalas inhaliacijoms ir nosiai, sterilus, 5ml, N10",N/A,6.49
Herbisland,"HERBISLAND, sirupas, 150 ml",5.52,6.49
Quixx,"QUIXX DAILY, nosies purškalas, 100 ml",N/A,7.56
Prospan,"PROSPAN, 7 mg/ml, sirupas, 100 ml",N/A,7.26
Dr. Theiss,"DR. THEISS HUSTICUM, 50 mg/g, sirupas, 100 ml",N/A,3.79
Medistus,"MEDISTUS ANTIVIRUS, 10 tablečių",6.15,7.69
Theraflu,"THERAFLU NT, milteliai geriamajam tirpalui, N10",N/A,7.67
Lotos Pharma,"SINUNORM, sirupas, 100 ml",N/A,4.42
Tantum Verde,"TANTUM VERDE, 1,5 mg/ml, burnos gleivinės purškalas (tirpalas), 30 ml",N/A,8.12
Septanazal,"SEPTANAZAL, 1 mg/50 mg/ml, nosies purškalas (tirpalas), suaugusiesiems, 10 ml",N/A,4.48
Daleron Cold3,"DALERON COLD3, plėvele dengtos tabletės, N24",N/A,7.87
Medicata,"MEDICATA, propolio kapsulės, 290 mg, 40 kapsulių",N/A,9.08
Rhino-Stas,"RHINO-STAS, 1 mg/ml, nosies purškalas (tirpalas), 10 ml",N/A,4.10
RhinoSol,"RHINOSOL, nosies lašai, 10 ml",N/A,4.99
Bionorica,"BRONCHIPRET TI, 150 mg/15 mg/g, geriamasis tirpalas, 100 ml ir dozavimo taurelė, N1",N/A,6.98
,"GASEC, 20 mg, skrandyje neirios kietosios kapsulės, N14",N/A,3.52
Propodezas,"PROPODEZAS SU IMBIERU, 50 tablečių",N/A,3.75
Salviasept,"SALVIASEPT, gerklės purškalas, 20 ml",4.45,7.42
Sinustrong,"SINUSTRONG+, 30 kapsulių",N/A,8.32
ACC,"ACC, 200 mg, šnypščiosios tabletės, N20",N/A,5.09
Grintuss,"GRINTUSS ADULT, burnoje disperguojamosios tabletės, N20",N/A,13.35
Golamir,"GOLAMIR 2ACT, burnoje disperguojamosios tabletės, N20",N/A,9.86
Otrivin,"OTRIVIN, 1 mg/ml, nosies purškalas (tirpalas), 10 ml",N/A,4.88
Actifed,"ACTIFED, 30 mg/1,25 mg/5 ml, sirupas, 100 ml",N/A,8.16
Tantum Verde,"TANTUM VERDE, 3 mg, kietosios pastilės, N20",N/A,7.13
Innovative Pharma,"BRONCHOMOSS, sirupas, 100 ml",N/A,6.53
Innovative Pharma,"SINUMOSS, 350 mg, 20 kapsulių",N/A,7.44
JOX,"JOX, 85/1 mg/ml, burnos gleivinės, gerklų ir ryklės purškalas (tirpalas), 30 ml",N/A,7.38
Quixx,"QUIXX SOFT NASAL SPRAY, nosies purškalas, 30 ml",N/A,5.14
AMBIO,"AMBIO GERKLEI SU ISLANDINE KERPENA IR IMBIERU, 20 čiulpiamųjų tablečių",N/A,4.98
AMBIO,"AMBIO BRONCHO COMPLEX, skystasis maisto papildas, 120 ml",N/A,6.24
Immunotrofina,"IMMUNOTROFINA, nuo kosulio purškalas, 30 ml",6.37,7.49
Alsiroyal,"ALSIROYAL CISTUS PLUS INFECT BLOCKER, 30 čiulpiamų tablečių",N/A,12.99
Innovative Pharma,"SINUMOSS BABY, geriamieji lašai, 30 ml",N/A,5.63
Propodezas,"PROPODEZAS SU ERŠKĖTUOGĖMIS, 50 tablečių",N/A,3.75
Golamir,"GOLAMIR 2ACT, purškalas be alkoholio, 30 ml",N/A,10.70
Faringospray,"FARINGOSPRAY, purškalas, 20 ml",N/A,5.69
Apipol,"APIPOL svilarožių šaknų sirupas su medumi ir propolio ekstraktu, 100ml",N/A,7.50
Miramile,"MIRAMILE TONSIL, gerklės ir burnos purškalas, 30 ml",N/A,5.64
AMBIO,"AMBIO GERKLEI SU ISLANDINE KERPENA IR EUKALIPTU, 20 čiulpiamųjų tablečių",N/A,4.98
Hedelix,"HEDELIX, 8 mg/ml, sirupas, 100 ml",N/A,6.00
Brontex,"BRONTEX, 30 mg, tabletės, N20",N/A,3.18
Alpen Pharma AG,"COLDISEPT NANOSILVER, NOSIES PURŠKALAS, 20 ml",N/A,6.51
,"MUKALTIIN tabletės, N30",N/A,2.99
Septabene,"SEPTABENE, 1,5 mg/5 mg/1 ml, burnos gleivinės purškalas (tirpalas), 30 ml",N/A,10.67
ACC,"ACC LONG, 600 mg, šnypščiosios tabletės, N6",N/A,4.66
Theraflu,"THERAFLU ND, 1000 mg/60 mg/30 mg, milteliai geriamajam tirpalui, N10",N/A,7.67
AMBIO,"AMBIO HOT HERBAL DRINK SU ISLANDINE KERPENA, 10 paketėlių miltelių karštam gėrimui ruošti",5.24,7.48
Decatylen,"DECATYLEN, 0,25 mg/0,03 mg, kietosios pastilės, N20",N/A,6.64
Apipol,"APIPOL propolio lašai inhaliacijoms, 20ml",N/A,7.99
Medochemie,"DELMAR, hipertoninis nosies purškalas, 50 ml",4.25,5.00
Heel,"LYMPHOMYOSOT, geriamieji lašai (tirpalas), 30 ml",N/A,7.83
Otosan,"OTOSAN FORTUSS, sirupas nuo kosulio, 180 g",7.83,9.79
Otosan,"OTOSAN, gerklės drėkinamasis gelis paketėliais, 10 g, 14 vnt.",7.66,9.57
Lotos Pharma,"SINURIN SPRAY, nosies purškalas, 30 ml",4.63,5.45
Herbion,"HERBION, 7 mg/ml, sirupas, 150 ml, N1",N/A,7.26
AMBIO,"AMBIO GERKLEI CITRINŲ SKONIO, 20 čiulpiamųjų tablečių",N/A,4.98
Jamieson,"JAMIESON CINKAS SU EŽIUOLE IR VITAMINAIS C IR D, 30 pastilių",N/A,11.39
Quixx,"QUIXX NASAL SPRAY, purškalas, 30 ml",N/A,5.22
Gripex,"GRIPEX, 500/30/15 mg, plėvele dengtos tabletės, N20",N/A,8.26
Tonsilotren,"TONSILOTREN, tabletės, N40",N/A,7.64
Heel,"ENGYSTOL, tabletės, N50",N/A,7.37
AMBIO,"AMBIO SINUREN COMPLEX (mikstūra), 120 ml",N/A,4.98
APITUSIK,"APITUSIK medaus sirupas nuo kosulio su čiobreliais ir propoliu, 100ml",N/A,7.99
Aflubin,"AFLUBIN, tabletės, N48",N/A,7.78
AMBIO,"AMBIO HOT HERBAL DRINK,10 paketėlių miltelių karštam gėrimui ruošti",N/A,7.48
Cinnabsin,"CINNABSIN N, tabletės, N40",N/A,7.64
Otrivin,"OTRIVIN MENTHOL, 1 mg/ml, nosies purškalas (tirpalas), 10 ml",N/A,5.29
Gripex,"GRIPEX THERMAL, 1000/100/12,2 mg, milteliai geriamajam tirpalui, N12",N/A,8.81
Propodezas,"PROPODEZAS SU VAISTAŽOLĖMIS, 50 tablečių",N/A,3.75
ŠVF,"ŠVF/AC BRONCHOHERBA, pastilės su šalavijais, N12",2.65,3.79
Flavamed,"FLAVAMED, 30 mg/5 ml, geriamasis tirpalas, 100 ml",N/A,3.93
AMBIO,"AMBIO GERKLEI SU GYSLOČIU IR ČIOBRELIU, mikstūra be cukraus, 150ml",N/A,6.48
Stoptussin,"STOPTUSSIN, 4 mg/100 mg, tabletės, N20",N/A,3.90
Pertusinas,"PERTUSINAS, 1 ml/5 ml, sirupas, vaikams, 100 ml ir matavimo šaukšas (5 ml) N1",N/A,4.05
Innovative Pharma,"BRONCHOMOSS, 20 tablečių",N/A,6.23
Rhinolaya,"RHINOLAYA, nosies purškalas, izotoninis tirpalas, 100 ml",N/A,11.99
Cosinus,"COSINUS, 30 tablečių",N/A,5.99
OtriDuo,"OTRIDUO, 0,5 mg/0,6 mg/ml, nosies purškalas, tirpalas, 10 ml, N1",N/A,5.29
Innovative Pharma,"ČIOBRELIŲ SIRUPAS, atsikosėjimui lengvinti, 100 ml",N/A,4.69
Prospan,"PROSPAN, 65 mg, šnypščiosios tabletės, N10",N/A,6.73
,"GALANAS, 1 mg/50 mg/ml, nosies purškalas (tirpalas), 10ml",N/A,4.74
Otrivin,"OTRIVIN NATURAL PLUS, su eukaliptu, 20 ml",4.22,4.69
Medicata,"MEDICATA APINASAL, nosies purškalas, 20 ml",4.63,5.45
Otrivin,"OTRIVIN, 1 mg/ml, nosies lašai (tirpalas), 10 ml",N/A,3.47
Faringospray,"FARINGOSPRAY, apelsinų skonio purškalas, 20 ml",N/A,6.35
Vocal,"VOCAL, medaus ir citrinų skonio pastilės gerklei su hialurono rūgštimi, N24",N/A,6.19
Faringodol,"FARINGODOL, 150 mg, kietosios pastilės, N16",N/A,6.22
Bionorica,"BRONCHIPRET, plėvele dengtos tabletės, N20",N/A,6.21
Humer,"HUMER KASDIENEI NOSIES HIGIENAI, nosies purškalas, 50 ml",7.19,8.99
Salviasept,"SALVIASEPT ACUT, be cukraus, 12 čiulpiamųjų pastilių",3.31,5.52
,"PAXELADINE, 2mg/ml, 100ml ir matavimo šaukštas arba matavimo taurelė, N1",N/A,6.06
Theraflu,"THERAFLU, 500 mg/6,1 mg/100 mg, kietosios kapsulės, N16",N/A,5.17
Vocal,"VOCAL, juodųjų serbentų skonio pastilės gerklei, 24 vnt.",N/A,4.59
Otosan,"OTOSAN, nosies purškalas, 30 ml",6.79,8.49
Tantum Verde,"TANTUM VERDE, 1,5 mg/ml, burnos gleivinės tirpalas, 240 ml",N/A,8.12
Neo-angin,"NEO-ANGIN, kietosios pastilės (be cukraus), N24",N/A,6.20
ACC,"ACC, 200 mg, milteliai geriamajam tirpalui, N20",N/A,4.96
Olynth,"OLYNTH, 1 mg/ml, nosies lašai (tirpalas), 10 ml",N/A,3.61
Strepsils,"STREPSILS INTENSIVE, 8,75 mg, kietosios pastilės, N24",N/A,10.50
Heel,"LYMPHOMYOSOT, tabletės, N50",N/A,6.56
Olefar,"OLEFAR DUO OIL SPRAY, purškalas, 20 ml",4.80,5.65
Strepsils,"STREPSILS INTENSIVE, 8,75 mg, kietosios pastilės, N16",N/A,7.59
AMBIO,"AMBIO GERKLEI PIPIRMEČIŲ SKONIO, 20 čiulpiamųjų tablečių",N/A,4.69
Rinosan propo,"RINOSAN propo izotoninis nosies purškalas su propoliu, 30ml",5.35,6.29
ŠVF,"ŠVF/AC BRONCHOHERBA, pastilės su medumi, N12",2.65,3.79
Teva,"DECATYL NATURAL, 12 pastilių",N/A,4.72
Gripex,"GRIPEX, plėvele dengtos tabletės, N12",N/A,5.29
Flavamed,"FLAVAMED, 60 mg, šnypščiosios tabletės, N10",N/A,4.62
Coldrex,"COLDREX HOTREM LEMON, 750 mg/10 mg/60 mg, milteliai geriamajam tirpalui, N10",N/A,8.17
Atmosil,"ATMOSIL, 15 kapsulių",N/A,5.90
Grintuss,"GRINTUSS ADULT, sirupas, 180 ml",N/A,12.15
Salviasept,"SALVIASEPT ACUT, 12 čiulpiamųjų pastilių",3.31,5.52
Fluditec,"FLUDITEC, 50 mg/ml, sirupas, 125 ml",N/A,4.02
Iloxen,"ILOXEN, 200 mg/30 mg, plėvele dengtos tabletės, N12",N/A,6.99
Valentis,"IMUNITAL HOT DRINK, su islandine kerpena, 16 g, 5 vnt.",N/A,5.99
Hedelix,"HEDELIX S.A., 40 mg/ml, geriamieji lašai (tirpalas), 50 ml",N/A,5.08
Gripex,"GRIPEX THERMAL, 300/20/5 mg, milteliai geriamajam tirpalui, N12",N/A,6.95
ACC,"ACC, 100 mg, milteliai geriamajam tirpalui, N20",N/A,4.85
Bromhexin Berlin-Chemie,"BROMHEXIN BERLIN-CHEMIE, 8 mg, dengtos tabletės, N25",N/A,2.81
Neo-angin,"NEO-ANGIN, kietosios pastilės, N24",N/A,5.74
Xymelin,"XYMELIN, 1 mg/ml, nosies purškalas (tirpalas), 10 ml",N/A,5.54
Brontex,"BRONTEX, 7,5 mg/ml, geriamieji lašai (tirpalas), 100 ml",N/A,4.90
Alpen Pharma AG,"COLDISEPT NANOSILVER, GERKLĖS PURŠKALAS, 20 ml",N/A,6.51
BRONCHOBALSAM,"BRONCHOBALSAM, sirupas, 150 ml",N/A,6.99
Otrinazil,"OTRINAZIL, 1 mg/50 mg/ml, nosies purškalas (tirpalas), 10 ml, N1",N/A,5.29
Coldrex,"COLDREX MAXGRIP MENTHOL & BERRIES, 1000 mg/10 mg/70 mg, milteliai geriamajam tirpalui, N10",N/A,8.17
Lotos Pharma,"SINURIN, nosies lašai, 10 ml",3.90,4.59
Aflubin,"AFLUBIN EXPRESS, nosies purškalas, 20 ml",5.14,6.05
Strepsils,"STREPSILS HONEY & LEMON, 1,2 mg/0,6 mg, kietosios pastilės, N24",N/A,7.66
Strepsils,"STREPSILS MENTHOL & EUCALYPTUS, 1,2 mg/0,6 mg/8 mg, kietosios pastilės, N24",N/A,7.66
Stodal,"STODAL, sirupas 200 ml, N1",N/A,7.37
Viscoflu,"VISCOFLU, nosies purškalas, 30 ml",N/A,14.37
Gripex,"GRIPEX, 500/30/15 mg, plėvele dengtos tabletės, N10",N/A,5.70
Medicata,"MEDICATA PROMENTOLIS PLIUS ČIOBRELIS, 60 tablečių",N/A,3.79
Acorus Balance,"ŠVF/AC PERŠALIMO SEZONUI, geriamasis tirpalas paketėliuose, 20 ml x 4 ir 20 ml x 4",N/A,9.99
WINTROZEN,"WINTROZEN, 600mg, šnypščiosios tabletės, N10",N/A,3.99
Miramile,"MIRAMILE, medaus ir citrinų skonio pastilės, 12 pastilių",N/A,2.98
Quixx,"QUIXX EXTRA, nosies purškalas, 30 ml",N/A,5.29
Aflubin,"AFLUBIN, geriamieji lašai, tirpalas, 20 ml",N/A,6.45
Isla,"ISLA MEDIC ACUTE, citrusai - medus, 20 pasitilių",N/A,7.79
Ambrolan,"AMBROLAN, 30 mg, tabletės, N20",N/A,2.81
ACC,"ACC, 20 mg/ml, geriamasis tirpalas, 100 ml",N/A,5.02
Lotos Pharma,"LOTOS PHARMA BRONCHONORM, 100 ml",3.05,3.81
Immunohot,"IMMUNOHOT, milteliai, 6 vnt.",N/A,6.05
Oscillococcinum,"OSCILLOCOCCINUM, piliulės, vienadozė talpyklė, N30",N/A,24.14
Aliflusin,"ALIFLUSIN, 500 mg/200 mg/4 mg, šnypščiosios tabletės, N10",N/A,4.62
Theraflu,"THERAFLU NT, milteliai geriamajam tirpalui, N6",N/A,6.40
Vocal,"VOCAL, pipirmėčių skonio pastilės gerklei su hialurono rūgštimi, 24 vnt.",N/A,5.89
